Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S1,39.4,ng/uL,0.394,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,37.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S2,10.4,ng/uL,0.104,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,13.6,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S3,40.4,ng/uL,0.404,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,33.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S4,48.3,ng/uL,0.483,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,43.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S5,62.7,ng/uL,0.627,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,55,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S6,52.1,ng/uL,0.521,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,45.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S7,24.5,ng/uL,0.245,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,22.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S8,21.7,ng/uL,0.217,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,19.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S9,19.7,ng/uL,0.197,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,21.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S10,24,ng/uL,0.24,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,25.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S11,38.6,ng/uL,0.386,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,32.5,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S12,12.2,ng/uL,0.122,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,14.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S13,59.4,ng/uL,0.594,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,52.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S14,153,ng/uL,1.53,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,121,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S15,42.6,ng/uL,0.426,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,35.6,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S16,94.8,ng/uL,0.948,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,71.2,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S17,60.3,ng/uL,0.603,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,54.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S18,33.7,ng/uL,0.337,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,33.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S19,62.9,ng/uL,0.629,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,50,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S20,53.5,ng/uL,0.535,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,48,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S21,74.1,ng/uL,0.741,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,63.9,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S22,63.3,ng/uL,0.633,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,54.1,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S23,53,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S24,52.5,ng/uL,0.525,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,41.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S25,24.7,ng/uL,0.394,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,37.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S26,9.4,ng/uL,0.104,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,13.6,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S27,30.4,ng/uL,0.404,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,33.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S28,49.3,ng/uL,0.483,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,43.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S29,63.7,ng/uL,0.627,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,55,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S30,62.1,ng/uL,0.521,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,45.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S31,44.5,ng/uL,0.245,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,22.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S32,21.7,ng/uL,0.217,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,19.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S33,19.7,ng/uL,0.197,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,21.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
